Station: Lausanne-César-Roux
Urban, traffic
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2022 01:00;7.9;36.5;0.30;19.5;9.6;65.6;7.4;0.0;-6.6
01.01.2022 02:00;2.4;51.1;0.50;27.1;14.8;122.1;6.5;0.0;-7.2
01.01.2022 03:00;17.7;29.3;0.30;15.3;7.7;48.6;7.3;0.0;-5.7
01.01.2022 04:00;9.7;47.5;0.30;14.9;6.8;91.0;7.2;0.0;-5.8
01.01.2022 05:00;17.0;33.3;0.30;11.7;5.6;58.9;7.4;0.0;-5.5
01.01.2022 06:00;4.3;43.9;0.30;13.3;6.6;114.3;6.2;0.0;-7.2
01.01.2022 07:00;8.5;35.4;0.30;13.3;6.3;72.0;5.7;0.0;-7.1
01.01.2022 08:00;7.3;35.7;0.40;12.1;5.6;73.1;5.8;0.0;-6.2
01.01.2022 09:00;9.4;31.7;0.30;11.5;5.5;52.1;5.5;0.0;3.0
01.01.2022 10:00;9.0;30.1;0.30;10.8;5.5;53.3;5.7;0.0;89.2
01.01.2022 11:00;8.9;28.9;0.30;14.4;7.4;55.9;7.2;0.0;239.6
01.01.2022 12:00;14.5;21.7;0.30;17.3;9.2;47.1;8.0;0.0;322.1
01.01.2022 13:00;12.3;24.6;0.30;19.5;10.4;58.7;8.6;0.0;335.4
01.01.2022 14:00;14.9;23.1;0.30;17.4;9.5;50.2;8.8;0.0;307.3
01.01.2022 15:00;13.3;25.3;0.30;19.3;10.5;57.5;9.0;0.0;260.6
01.01.2022 16:00;12.3;32.5;0.40;18.8;10.4;65.5;9.2;0.0;158.2
01.01.2022 17:00;18.4;35.2;0.40;15.3;7.8;58.0;9.2;0.0;18.3
01.01.2022 18:00;2.8;48.7;0.60;17.4;8.7;107.7;8.0;0.0;-6.6
01.01.2022 19:00;4.3;50.1;0.60;21.1;11.0;120.4;7.4;0.0;-6.7
01.01.2022 20:00;6.7;48.3;0.50;18.5;9.7;91.7;7.5;0.0;-5.9
01.01.2022 21:00;2.1;53.7;0.80;19.5;10.0;131.1;6.4;0.0;-6.9
01.01.2022 22:00;8.1;43.8;0.40;18.6;9.8;73.1;6.2;0.0;-5.6
01.01.2022 23:00;6.9;39.0;0.40;18.2;9.8;61.8;5.9;0.0;-6.1
02.01.2022 00:00;7.0;40.5;0.40;16.0;8.3;69.5;5.8;0.0;-6.4
02.01.2022 01:00;7.6;36.1;0.30;16.3;8.6;58.6;5.6;0.0;-6.3
