Lausanne-César-Roux
Messstation Nr.:   9
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10     73.50      0.41
2022 01 01 00 20     90.85      0.35
2022 01 01 00 30     89.17      0.69
2022 01 01 00 40    138.99      0.63
2022 01 01 00 50    121.33      0.79
2022 01 01 01 00     96.49      1.03
2022 01 01 01 10     96.46      0.33
2022 01 01 01 20    109.72      0.38
2022 01 01 01 30     79.30      0.50
2022 01 01 01 40     77.90      0.57
2022 01 01 01 50    162.03      0.48
2022 01 01 02 00    153.65      0.44
2022 01 01 02 10    101.79      0.86
2022 01 01 02 20     81.09      1.10
2022 01 01 02 30     79.58      1.06
2022 01 01 02 40     81.04      1.59
2022 01 01 02 50     88.00      1.72
2022 01 01 03 00    100.28      0.84
2022 01 01 03 10     83.65      0.99
2022 01 01 03 20     78.29      1.39
2022 01 01 03 30     68.33      0.81
2022 01 01 03 40     78.29      1.10
2022 01 01 03 50     82.79      0.91
2022 01 01 04 00     90.10      0.98
2022 01 01 04 10    104.31      0.73
2022 01 01 04 20     85.41      1.86
2022 01 01 04 30     83.96      1.58
2022 01 01 04 40     85.14      0.96
2022 01 01 04 50     86.09      1.12
2022 01 01 05 00    106.18      0.60
2022 01 01 05 10    109.54      0.54
2022 01 01 05 20    117.13      0.85
2022 01 01 05 30     91.22      0.48
2022 01 01 05 40     88.93      0.58
2022 01 01 05 50     59.73      0.41
2022 01 01 06 00     54.49      0.56
2022 01 01 06 10     78.07      1.20
2022 01 01 06 20     79.08      0.70
2022 01 01 06 30    145.27      0.39
2022 01 01 06 40    285.49      0.38
2022 01 01 06 50    304.70      0.42
2022 01 01 07 00    317.69      0.35
2022 01 01 07 10     18.73      0.40
2022 01 01 07 20    135.16      0.34
2022 01 01 07 30    323.20      0.68
2022 01 01 07 40    347.47      0.68
2022 01 01 07 50     64.03      0.92
2022 01 01 08 00    103.84      0.63
2022 01 01 08 10     99.05      0.72
2022 01 01 08 20     65.37      0.30
2022 01 01 08 30    118.16      0.40
2022 01 01 08 40    141.14      0.42
2022 01 01 08 50     90.75      1.30
2022 01 01 09 00     85.87      1.20
2022 01 01 09 10     88.10      1.22
2022 01 01 09 20    266.38      0.34
2022 01 01 09 30    129.00      0.25
2022 01 01 09 40    276.81      0.35
2022 01 01 09 50    287.01      0.70
2022 01 01 10 00    256.61      0.34
2022 01 01 10 10    188.33      0.31
2022 01 01 10 20    249.24      0.47
2022 01 01 10 30    207.91      0.43
2022 01 01 10 40    231.73      0.81
2022 01 01 10 50    194.04      0.62
2022 01 01 11 00    164.63      0.57
2022 01 01 11 10    155.74      0.74
2022 01 01 11 20    189.07      0.66
2022 01 01 11 30    224.21      0.88
2022 01 01 11 40    268.56      0.82
2022 01 01 11 50    249.69      0.97
2022 01 01 12 00    190.02      0.65
2022 01 01 12 10    267.87      0.68
2022 01 01 12 20    260.24      0.83
2022 01 01 12 30    241.21      0.90
2022 01 01 12 40    233.16      0.99
2022 01 01 12 50    181.00      1.04
2022 01 01 13 00    157.77      1.11
2022 01 01 13 10    148.67      0.92
2022 01 01 13 20    116.36      0.67
2022 01 01 13 30    122.12      0.73
2022 01 01 13 40    196.29      0.62
2022 01 01 13 50    242.59      0.88
2022 01 01 14 00    261.63      0.99
2022 01 01 14 10    243.70      0.64
2022 01 01 14 20    151.96      0.90
2022 01 01 14 30    192.76      1.07
2022 01 01 14 40    175.93      0.75
2022 01 01 14 50    192.85      0.88
2022 01 01 15 00    184.56      0.95
2022 01 01 15 10    197.26      0.82
2022 01 01 15 20    192.98      0.48
2022 01 01 15 30    278.54      0.51
2022 01 01 15 40    257.17      0.51
2022 01 01 15 50    138.34      0.74
2022 01 01 16 00    138.19      1.02
2022 01 01 16 10    134.14      1.18
2022 01 01 16 20    130.71      0.89
2022 01 01 16 30    120.29      0.93
2022 01 01 16 40    100.99      1.15
2022 01 01 16 50    142.58      0.74
2022 01 01 17 00    141.27      0.69
2022 01 01 17 10    189.32      0.62
2022 01 01 17 20    286.46      0.64
2022 01 01 17 30    283.81      0.49
2022 01 01 17 40    173.83      0.31
2022 01 01 17 50    138.69      0.64
2022 01 01 18 00    136.31      0.84
2022 01 01 18 10    256.44      0.46
2022 01 01 18 20     84.02      0.49
2022 01 01 18 30     77.79      0.29
2022 01 01 18 40     97.58      0.79
2022 01 01 18 50     86.23      1.59
2022 01 01 19 00     78.46      1.81
2022 01 01 19 10     83.47      1.90
2022 01 01 19 20     75.10      1.70
2022 01 01 19 30    144.19      0.37
2022 01 01 19 40     87.45      0.91
2022 01 01 19 50     72.60      0.70
2022 01 01 20 00     23.71      0.21
2022 01 01 20 10    105.15      0.42
2022 01 01 20 20    151.23      0.40
2022 01 01 20 30    135.26      0.53
2022 01 01 20 40    340.83      0.47
2022 01 01 20 50    309.30      0.40
2022 01 01 21 00     94.56      1.03
2022 01 01 21 10    269.99      0.69
2022 01 01 21 20    315.51      1.07
2022 01 01 21 30    338.16      0.52
2022 01 01 21 40     96.27      1.05
2022 01 01 21 50     88.86      1.43
2022 01 01 22 00     86.46      1.73
2022 01 01 22 10     87.84      1.57
2022 01 01 22 20    111.39      0.46
2022 01 01 22 30     84.96      0.80
2022 01 01 22 40    278.88      0.44
2022 01 01 22 50    171.50      0.12
2022 01 01 23 00     56.85      0.53
2022 01 01 23 10     93.08      1.40
2022 01 01 23 20    130.35      0.44
2022 01 01 23 30     16.38      0.34
2022 01 01 23 40    128.81      0.19
2022 01 01 23 50    116.16      0.98
2022 01 01 24 00     99.93      0.80
2022 01 02 00 10     71.06      0.77
2022 01 02 00 20     84.39      0.83
2022 01 02 00 30     90.82      1.24
2022 01 02 00 40    271.91      0.38
2022 01 02 00 50    317.39      0.31
2022 01 02 01 00     28.36      0.28
2022 01 02 01 10    121.15      0.57
2022 01 02 01 20    104.93      0.32
2022 01 02 01 30     75.77      1.25
2022 01 02 01 40    265.58      0.86
2022 01 02 01 50    311.02      0.93
2022 01 02 02 00    296.73      0.72
2022 01 02 02 10    336.96      0.55
2022 01 02 02 20    131.18      0.47
2022 01 02 02 30    136.14      0.40
