Station: Magadino-Cadenazzo
Rural, < 1000 m
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
Date/time;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2022 01:00;1.1;20.4;1.8;48.7;40.6;2.8;66.9;-0.5;0.0;0.0
01.01.2022 02:00;0.9;19.2;1.8;45.6;38.3;2.7;64.9;-0.7;0.0;0.0
01.01.2022 03:00;1.0;19.3;1.7;49.8;41.8;2.6;57.8;-0.6;0.0;0.0
01.01.2022 04:00;0.7;16.7;1.5;43.8;36.4;2.3;48.9;-0.9;0.0;0.0
01.01.2022 05:00;0.8;19.1;1.7;45.7;38.4;2.3;51.7;-0.7;0.0;0.0
01.01.2022 06:00;0.5;18.4;1.6;39.2;33.2;2.0;42.2;-0.9;0.0;0.0
01.01.2022 07:00;0.5;19.0;1.8;35.5;29.5;1.7;39.6;-0.8;0.0;0.0
01.01.2022 08:00;0.5;19.8;1.7;31.3;26.4;1.7;35.5;-0.7;0.0;0.0
01.01.2022 09:00;2.0;18.8;1.7;28.2;23.4;1.5;34.7;-0.5;0.0;15.7
01.01.2022 10:00;7.3;16.2;1.8;26.0;20.5;1.6;32.0;1.0;0.0;37.8
01.01.2022 11:00;13.6;16.9;2.4;21.8;17.5;1.2;34.1;3.7;0.0;206.5
01.01.2022 12:00;27.7;22.4;3.4;25.4;20.7;1.4;39.9;7.7;0.0;329.7
01.01.2022 13:00;40.6;22.5;3.5;26.8;20.6;1.3;33.6;10.8;0.0;357.2
01.01.2022 14:00;38.6;10.1;2.8;11.6;8.0;0.5;15.3;12.0;0.0;326.2
01.01.2022 15:00;38.5;10.4;2.4;10.7;7.6;0.6;14.3;10.9;0.0;222.7
01.01.2022 16:00;27.7;22.9;2.2;17.3;13.7;1.1;29.0;7.7;0.0;19.5
01.01.2022 17:00;8.8;38.1;2.0;20.4;15.4;1.1;49.3;5.4;0.0;2.8
01.01.2022 18:00;1.7;42.0;1.8;26.6;17.6;1.5;64.8;3.8;0.0;0.0
01.01.2022 19:00;1.1;41.1;1.5;28.1;17.2;1.9;83.8;2.4;0.0;0.0
01.01.2022 20:00;1.3;36.9;1.6;30.2;21.8;2.2;90.3;1.3;0.0;0.0
01.01.2022 21:00;0.8;31.6;1.3;24.7;17.8;1.9;71.5;0.6;0.0;0.0
01.01.2022 22:00;1.2;30.9;1.5;32.7;25.4;2.3;77.7;0.6;0.0;0.0
01.01.2022 23:00;1.1;27.0;1.3;32.5;25.9;2.2;66.4;0.2;0.0;0.0
02.01.2022 00:00;1.4;27.5;1.5;41.5;34.4;2.6;71.6;0.0;0.0;0.0
02.01.2022 01:00;1.0;23.1;1.2;37.4;30.7;2.3;60.4;-0.8;0.0;0.0
02.01.2022 02:00;0.8;22.4;1.4;37.2;31.2;2.3;58.7;-0.7;0.0;0.0
02.01.2022 03:00;1.0;21.0;1.3;35.5;30.1;2.1;57.9;-0.6;0.0;0.0
02.01.2022 04:00;0.8;18.1;1.1;32.6;26.7;2.1;50.2;-1.0;0.0;0.0
02.01.2022 05:00;0.6;17.2;1.1;31.4;26.4;2.0;50.4;-1.5;0.0;0.0
02.01.2022 06:00;0.6;16.0;1.1;29.9;24.9;1.9;48.4;-1.7;0.0;0.0
02.01.2022 07:00;0.6;15.8;1.2;28.0;23.7;1.9;47.7;-1.7;0.0;0.0
02.01.2022 08:00;0.7;15.2;1.2;25.0;21.1;1.8;46.5;-2.0;0.0;0.0
02.01.2022 09:00;1.3;15.4;1.4;24.9;20.8;1.9;48.5;-1.6;0.0;17.7
02.01.2022 10:00;3.1;15.9;1.9;20.9;17.2;1.7;50.7;0.0;0.0;89.8
02.01.2022 11:00;6.7;20.8;3.2;21.2;17.4;1.9;53.5;2.6;0.0;178.5
02.01.2022 12:00;16.5;25.6;4.1;28.0;23.7;2.2;50.3;5.5;0.0;283.8
02.01.2022 13:00;21.5;26.2;4.6;20.3;16.7;1.3;42.1;7.1;0.0;194.7
02.01.2022 14:00;24.7;17.1;3.8;17.5;13.0;0.9;26.3;8.0;0.0;197.2
02.01.2022 15:00;27.2;13.8;3.4;16.6;13.1;0.8;18.5;7.6;0.0;133.2
02.01.2022 16:00;28.1;15.8;2.9;18.4;15.4;0.8;18.6;7.5;0.0;59.5
02.01.2022 17:00;14.1;24.7;2.3;25.9;19.9;1.2;29.0;5.2;0.0;9.2
02.01.2022 18:00;2.1;33.4;2.0;29.1;23.3;1.7;43.0;3.6;0.0;0.0
02.01.2022 19:00;1.5;30.1;1.5;36.2;26.8;2.1;46.5;2.4;0.0;0.0
02.01.2022 20:00;1.1;28.5;1.5;36.6;28.9;2.1;54.3;1.2;0.0;0.0
02.01.2022 21:00;0.9;27.7;1.4;35.7;29.0;2.2;59.4;0.4;0.0;0.0
02.01.2022 22:00;1.0;26.7;1.4;40.0;33.5;2.7;70.4;0.0;0.0;0.0
02.01.2022 23:00;1.0;25.5;1.4;39.2;33.1;2.6;75.0;-0.4;0.0;0.0
03.01.2022 00:00;1.0;25.1;1.5;38.1;31.7;2.5;72.0;-0.2;0.0;0.0
03.01.2022 01:00;0.8;23.0;1.3;37.6;32.3;2.3;66.9;-0.7;0.0;0.0
03.01.2022 02:00;0.7;22.3;1.4;37.0;31.6;2.2;66.0;-1.1;0.0;0.0
03.01.2022 03:00;0.7;21.4;1.4;35.2;30.4;2.2;62.0;-1.0;0.0;0.0
03.01.2022 04:00;0.7;19.5;1.3;33.1;28.5;2.0;54.4;-1.4;0.0;0.0
03.01.2022 05:00;0.7;18.2;1.2;29.4;25.3;1.9;51.1;-1.6;0.0;0.0
03.01.2022 06:00;0.6;17.0;1.2;27.4;23.6;1.8;49.6;-1.8;0.0;0.0
03.01.2022 07:00;0.6;17.3;1.3;27.5;22.6;2.2;56.2;-1.5;0.0;0.0
03.01.2022 08:00;0.5;15.6;1.3;27.4;21.1;1.7;51.3;-1.7;0.0;0.0
03.01.2022 09:00;1.0;20.0;1.8;21.8;18.1;1.8;72.3;-1.3;0.0;12.8
03.01.2022 10:00;1.8;22.1;2.3;21.2;16.9;1.9;100.9;0.3;0.0;60.7
03.01.2022 11:00;3.2;23.6;2.8;20.5;16.1;2.0;107.0;1.5;0.0;155.3
03.01.2022 12:00;6.5;28.8;3.8;22.2;16.9;1.8;99.2;3.8;0.0;249.7
03.01.2022 13:00;11.6;29.8;4.4;17.0;14.0;1.2;68.2;5.5;0.0;247.3
03.01.2022 14:00;18.7;22.6;4.0;17.8;14.2;0.9;41.4;6.8;0.0;239.3
03.01.2022 15:00;23.0;22.4;4.0;17.9;13.0;0.9;36.9;7.5;0.0;214.5
03.01.2022 16:00;30.6;16.2;2.7;15.0;11.5;0.7;21.6;6.6;0.0;52.8
03.01.2022 17:00;9.2;36.0;2.2;25.4;16.4;1.3;55.4;4.3;0.0;6.8
03.01.2022 18:00;1.0;41.5;2.0;23.2;16.1;1.7;75.8;1.9;0.0;0.0
03.01.2022 19:00;1.0;39.3;2.0;30.6;21.0;2.0;104.6;1.5;0.0;0.0
03.01.2022 20:00;0.9;34.2;1.8;28.7;21.3;2.1;97.0;1.2;0.0;0.0
03.01.2022 21:00;1.0;34.6;2.1;32.1;24.7;2.3;98.6;1.8;0.0;0.0
03.01.2022 22:00;1.2;34.2;2.2;34.9;28.4;2.4;101.7;1.9;0.0;0.0
03.01.2022 23:00;1.1;27.9;1.9;36.3;30.7;2.3;81.3;1.4;0.0;0.0
04.01.2022 00:00;0.8;25.2;1.6;31.1;26.4;2.1;69.0;1.8;0.0;0.0
04.01.2022 01:00;0.9;24.9;1.7;30.4;27.3;2.1;63.0;2.1;0.0;0.0
04.01.2022 02:00;1.0;24.5;1.9;30.8;27.8;2.0;59.4;2.5;0.0;0.0
04.01.2022 03:00;1.0;23.2;1.9;30.6;27.6;2.0;56.5;2.7;0.0;0.0
04.01.2022 04:00;0.9;22.3;1.8;27.8;25.1;1.8;47.2;3.0;0.0;0.0
04.01.2022 05:00;0.8;22.4;2.1;25.9;23.7;1.7;47.0;3.1;0.0;0.0
