Magadino-Cadenazzo
Messstation Nr.:  11
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 01 00 10    108.00      0.60
2022 01 01 00 20    102.00      1.00
2022 01 01 00 30    137.00      0.50
2022 01 01 00 40     84.00      0.60
2022 01 01 00 50    357.00      0.50
2022 01 01 01 00     31.00      0.20
2022 01 01 01 10    320.00      0.30
2022 01 01 01 20    280.00      0.30
2022 01 01 01 30    222.00      0.30
2022 01 01 01 40    163.00      0.20
2022 01 01 01 50    120.00      0.20
2022 01 01 02 00     49.00      0.30
2022 01 01 02 10    128.00      0.40
2022 01 01 02 20    112.00      0.70
2022 01 01 02 30     59.00      0.90
2022 01 01 02 40     45.00      0.50
2022 01 01 02 50    328.00      0.30
2022 01 01 03 00    353.00      0.30
2022 01 01 03 10    121.00      0.90
2022 01 01 03 20    136.00      0.20
2022 01 01 03 30     28.00      0.30
2022 01 01 03 40     24.00      0.70
2022 01 01 03 50    358.00      0.40
2022 01 01 04 00    250.00      0.90
2022 01 01 04 10    245.00      0.70
2022 01 01 04 20    193.00      0.50
2022 01 01 04 30     54.00      0.10
2022 01 01 04 40     82.00      1.20
2022 01 01 04 50     82.00      1.40
2022 01 01 05 00    114.00      0.50
2022 01 01 05 10     10.00      0.50
2022 01 01 05 20    242.00      1.20
2022 01 01 05 30    261.00      1.10
2022 01 01 05 40    292.00      0.20
2022 01 01 05 50     60.00      0.20
2022 01 01 06 00    106.00      0.90
2022 01 01 06 10     35.00      0.70
2022 01 01 06 20     54.00      0.80
2022 01 01 06 30    116.00      0.70
2022 01 01 06 40     54.00      0.60
2022 01 01 06 50    348.00      0.10
2022 01 01 07 00    360.00      0.20
2022 01 01 07 10    111.00      0.20
2022 01 01 07 20    267.00      0.50
2022 01 01 07 30    134.00      0.40
2022 01 01 07 40     42.00      0.10
2022 01 01 07 50     74.00      0.30
2022 01 01 08 00    102.00      0.40
2022 01 01 08 10    316.00      0.30
2022 01 01 08 20    190.00      0.20
2022 01 01 08 30     66.00      0.30
2022 01 01 08 40    202.00      0.20
2022 01 01 08 50    296.00      0.80
2022 01 01 09 00    246.00      0.70
2022 01 01 09 10    260.00      0.70
2022 01 01 09 20    292.00      1.00
2022 01 01 09 30    249.00      0.60
2022 01 01 09 40    213.00      1.10
2022 01 01 09 50    171.00      0.10
2022 01 01 10 00    344.00      0.50
2022 01 01 10 10    164.00      0.50
2022 01 01 10 20     82.00      0.80
2022 01 01 10 30     15.00      0.70
2022 01 01 10 40    124.00      0.40
2022 01 01 10 50    117.00      1.00
2022 01 01 11 00     28.00      0.20
2022 01 01 11 10     66.00      0.20
2022 01 01 11 20    146.00      0.50
2022 01 01 11 30    125.00      0.90
2022 01 01 11 40     98.00      1.00
2022 01 01 11 50    109.00      0.90
2022 01 01 12 00    139.00      0.80
2022 01 01 12 10    171.00      0.90
2022 01 01 12 20    199.00      0.50
2022 01 01 12 30    222.00      0.30
2022 01 01 12 40    223.00      0.70
2022 01 01 12 50    207.00      1.20
2022 01 01 13 00    215.00      1.20
2022 01 01 13 10    223.00      1.00
2022 01 01 13 20    214.00      1.40
2022 01 01 13 30    233.00      1.90
2022 01 01 13 40    243.00      2.20
2022 01 01 13 50    238.00      1.80
2022 01 01 14 00    243.00      1.80
2022 01 01 14 10    239.00      1.80
2022 01 01 14 20    240.00      1.80
2022 01 01 14 30    229.00      1.50
2022 01 01 14 40    234.00      1.10
2022 01 01 14 50    223.00      1.50
2022 01 01 15 00    226.00      1.70
2022 01 01 15 10    234.00      1.40
2022 01 01 15 20    224.00      0.90
2022 01 01 15 30    218.00      0.30
2022 01 01 15 40    189.00      0.20
2022 01 01 15 50    188.00      0.10
2022 01 01 16 00    163.00      0.10
2022 01 01 16 10     67.00      0.30
2022 01 01 16 20    102.00      0.50
2022 01 01 16 30     97.00      0.50
2022 01 01 16 40    126.00      0.40
2022 01 01 16 50    130.00      0.40
2022 01 01 17 00     96.00      0.50
2022 01 01 17 10     58.00      0.40
2022 01 01 17 20     83.00      0.30
2022 01 01 17 30     94.00      0.80
2022 01 01 17 40     86.00      0.80
2022 01 01 17 50     98.00      0.70
2022 01 01 18 00     68.00      1.20
2022 01 01 18 10     89.00      0.80
2022 01 01 18 20     88.00      0.40
2022 01 01 18 30     55.00      0.50
2022 01 01 18 40    358.00      0.30
2022 01 01 18 50      4.00      0.10
2022 01 01 19 00     72.00      0.20
2022 01 01 19 10    272.00      0.40
2022 01 01 19 20    222.00      0.10
2022 01 01 19 30    319.00      0.20
2022 01 01 19 40    134.00      0.50
2022 01 01 19 50    147.00      0.40
2022 01 01 20 00    140.00      0.30
2022 01 01 20 10     53.00      0.40
2022 01 01 20 20     15.00      0.10
2022 01 01 20 30    266.00      0.30
2022 01 01 20 40    256.00      0.10
2022 01 01 20 50    152.00      0.20
2022 01 01 21 00    283.00      0.20
2022 01 01 21 10    331.00      0.10
2022 01 01 21 20      8.00      0.20
2022 01 01 21 30    111.00      1.10
2022 01 01 21 40     99.00      1.00
2022 01 01 21 50    109.00      0.60
2022 01 01 22 00     37.00      1.60
2022 01 01 22 10    352.00      0.30
2022 01 01 22 20    185.00      0.40
2022 01 01 22 30    208.00      0.30
2022 01 01 22 40    207.00      0.20
2022 01 01 22 50    168.00      0.20
2022 01 01 23 00     91.00      0.40
2022 01 01 23 10    137.00      0.80
2022 01 01 23 20    166.00      0.40
2022 01 01 23 30     30.00      0.50
2022 01 01 23 40     50.00      0.20
2022 01 01 23 50     96.00      0.30
2022 01 01 24 00     79.00      1.40
2022 01 02 00 10    149.00      0.40
2022 01 02 00 20    233.00      0.30
2022 01 02 00 30    258.00      0.50
2022 01 02 00 40      1.00      0.20
2022 01 02 00 50    106.00      1.10
2022 01 02 01 00     74.00      1.20
2022 01 02 01 10     65.00      1.50
2022 01 02 01 20    116.00      0.70
2022 01 02 01 30    208.00      0.80
2022 01 02 01 40    326.00      1.00
2022 01 02 01 50     55.00      0.90
2022 01 02 02 00    110.00      0.50
2022 01 02 02 10     99.00      0.60
2022 01 02 02 20     91.00      1.00
