"site";"date";"hour";"variable";"percent.recovery";"value"
"LAU";2022-06-15;"12";"O3";100;128,85
"LAU";2022-06-16;"23";"O3";100;123
"LAU";2022-06-17;"12";"O3";100;130,6
"LAU";2022-06-17;"14";"O3";100;128,9
"LAU";2022-06-17;"15";"O3";100;129,5
"LAU";2022-06-17;"17";"O3";100;131,9
"LAU";2022-06-17;"18";"O3";100;131,25
"LAU";2022-06-17;"21";"O3";100;124,4
"LAU";2022-06-18;"12";"O3";100;129,45
"LAU";2022-06-18;"14";"O3";100;135,5
"LAU";2022-06-18;"15";"O3";100;136,95
"LAU";2022-07-03;"17";"O3";100;123,5
"LAU";2022-07-14;"12";"O3";100;121,05
"LAU";2022-07-14;"18";"O3";100;120,7
"LAU";2022-07-15;"17";"O3";100;131
"LAU";2022-07-15;"18";"O3";100;128,4
"LAU";2022-07-16;"11";"O3";100;121,2
"LAU";2022-07-16;"12";"O3";100;128
"LAU";2022-07-16;"14";"O3";100;130,9
"LAU";2022-07-16;"15";"O3";100;129,4
"LAU";2022-07-16;"17";"O3";100;132,5
"LAU";2022-07-16;"18";"O3";100;133,85
"LAU";2022-07-16;"20";"O3";100;121,8
"LAU";2022-07-17;"12";"O3";100;124,75
"LAU";2022-07-17;"14";"O3";100;129,6
"LAU";2022-07-17;"15";"O3";100;132,2
"LAU";2022-07-17;"17";"O3";100;123,4
"LAU";2022-07-17;"18";"O3";100;123,7
"LAU";2022-07-17;"20";"O3";100;122,8
"LAU";2022-07-17;"21";"O3";100;128,1
"LAU";2022-07-18;"11";"O3";100;129,4
"LAU";2022-07-18;"12";"O3";100;135,05
"LAU";2022-07-18;"14";"O3";100;124,3
"LAU";2022-07-18;"17";"O3";100;123,1
"LAU";2022-07-18;"18";"O3";100;121,35
"LAU";2022-07-18;"20";"O3";100;132,1
"LAU";2022-07-18;"21";"O3";100;137,25
"LAU";2022-07-18;"23";"O3";100;121,7
"LAU";2022-07-19;"00";"O3";100;122
"LAU";2022-07-19;"12";"O3";100;121,65
"LAU";2022-07-19;"14";"O3";100;133,3
"LAU";2022-07-19;"15";"O3";100;139,85
"LAU";2022-07-19;"17";"O3";100;149,7
"LAU";2022-07-19;"18";"O3";100;137,4
"LAU";2022-07-22;"15";"O3";100;124,15
"LAU";2022-07-24;"14";"O3";100;123,9
"LAU";2022-07-25;"11";"O3";100;123,6
"LAU";2022-08-04;"12";"O3";100;124,95
"LAU";2022-08-04;"14";"O3";100;136,6
"LAU";2022-08-04;"17";"O3";100;124,6
"LAU";2022-08-09;"18";"O3";100;121,05
"LAU";2022-08-10;"17";"O3";100;121,2
"LAU";2022-08-10;"18";"O3";100;124,5
"LAU";2022-08-10;"20";"O3";100;122,1
"LAU";2022-08-11;"14";"O3";100;122,6
"LAU";2022-08-11;"15";"O3";100;121,3
"LAU";2022-08-11;"18";"O3";100;126,55
"LAU";2022-08-11;"20";"O3";100;132,6
"LAU";2022-08-11;"21";"O3";100;131,4
"LAU";2022-08-11;"23";"O3";100;122,1
"LAU";2022-08-12;"12";"O3";100;122
"LAU";2022-08-12;"15";"O3";100;126,8
"LAU";2022-08-12;"17";"O3";100;126,7
"LAU";2022-08-12;"18";"O3";100;122,9
"LAU";2022-08-23;"17";"O3";100;123,8
"LAU";2022-08-25;"14";"O3";100;128,8
"LAU";2022-08-25;"15";"O3";100;131,05
"LAU";2022-08-25;"17";"O3";100;121,9
"MAG";2022-03-25;"12";"O3";100;120,45
"MAG";2022-03-25;"14";"O3";100;130,4
"MAG";2022-03-25;"15";"O3";100;132,55
"MAG";2022-03-25;"17";"O3";100;134,9
"MAG";2022-03-25;"18";"O3";100;122,4
"MAG";2022-03-26;"12";"O3";100;132,65
"MAG";2022-03-26;"14";"O3";100;137,8
"MAG";2022-03-26;"15";"O3";100;137,2
"MAG";2022-03-26;"17";"O3";100;134,5
"MAG";2022-03-27;"11";"O3";100;122,4
"MAG";2022-03-27;"12";"O3";100;136,3
"MAG";2022-03-27;"14";"O3";100;140,4
"MAG";2022-03-27;"15";"O3";100;144,05
"MAG";2022-03-27;"17";"O3";100;142,8
"MAG";2022-03-27;"18";"O3";100;120,2
"MAG";2022-03-28;"11";"O3";100;122
"MAG";2022-03-28;"12";"O3";100;133,7
"MAG";2022-03-28;"14";"O3";100;137,2
"MAG";2022-03-28;"15";"O3";100;135,1
"MAG";2022-03-28;"17";"O3";100;135,4
"MAG";2022-03-28;"18";"O3";100;123,5
"MAG";2022-03-29;"12";"O3";100;127
"MAG";2022-03-29;"14";"O3";100;135,6
"MAG";2022-03-29;"15";"O3";100;139,05
"MAG";2022-03-29;"17";"O3";100;139,6
"MAG";2022-03-29;"18";"O3";100;121
"MAG";2022-04-06;"14";"O3";100;124,7
"MAG";2022-04-06;"15";"O3";100;124,85
"MAG";2022-04-12;"14";"O3";100;127,2
"MAG";2022-04-12;"15";"O3";100;126,2
"MAG";2022-04-12;"17";"O3";100;127,9
"MAG";2022-04-12;"18";"O3";100;126,15
"MAG";2022-04-13;"12";"O3";100;123,95
"MAG";2022-04-13;"14";"O3";100;137
"MAG";2022-04-13;"15";"O3";100;141,55
"MAG";2022-04-13;"17";"O3";100;147,1
"MAG";2022-04-13;"18";"O3";100;141,5
"MAG";2022-04-13;"20";"O3";100;136,3
"MAG";2022-04-14;"11";"O3";100;131,2
"MAG";2022-04-14;"12";"O3";100;139,6
"MAG";2022-04-14;"14";"O3";100;142,8
"MAG";2022-04-14;"15";"O3";100;146,3
"MAG";2022-04-14;"17";"O3";100;151,4
"MAG";2022-04-14;"18";"O3";100;136,4
